timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado
1771134481,2026-02-15 05:48:01,2026-02-15 02:48:01,Lastarria,VIIRS375,0.25,2.4,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Lastarria/2026-02-15/05-48-01_Lastarria_VIIRS375_Latest.png,2026-02-15 07:20:45,2026-02-15 18:30:41,NO
1771134481,2026-02-15 05:48:01,2026-02-15 02:48:01,Lascar,VIIRS,4.54,1.5,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-15/05-48-01_Lascar_VIIRS750_Latest.png,2026-02-15 06:20:40,2026-02-15 18:15:42,NO
1771134481,2026-02-15 05:48:01,2026-02-15 02:48:01,PlanchonPeteroa,VIIRS375,0.18,1.91,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-02-15/05-48-01_PlanchonPeteroa_VIIRS375_Latest.png,2026-02-15 07:20:45,2026-02-15 18:30:41,NO
1771133400,2026-02-15 05:30:00,2026-02-15 02:30:00,Puyehue-Cordon Caulle,VIIRS375,0.42,7.83,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Puyehue-Cordon Caulle/2026-02-15/05-30-00_Puyehue-Cordon Caulle_VIIRS375_Latest.png,2026-02-15 07:35:41,2026-02-15 18:30:41,NO
1771093801,2026-02-14 18:30:01,2026-02-14 15:30:01,Lascar,VIIRS375,1.85,1.13,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-14/18-30-01_Lascar_VIIRS375_Latest.png,2026-02-14 19:35:38,2026-02-15 07:15:43,NO
1771053300,2026-02-14 07:15:00,2026-02-14 04:15:00,Lascar,MODIS,3.94,1.41,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-14/07-15-00_Lascar_MODIS_Latest.png,2026-02-14 07:05:38,2026-02-14 10:45:42,NO
1771049161,2026-02-14 06:06:01,2026-02-14 03:06:01,Lascar,VIIRS375,3.75,1.5,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-14/06-06-01_Lascar_VIIRS375_Latest.png,2026-02-14 07:50:39,2026-02-14 19:00:40,NO
1771049161,2026-02-14 06:06:01,2026-02-14 03:06:01,Tupungatito,VIIRS375,0.08,4.89,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Tupungatito/2026-02-14/06-06-01_Tupungatito_VIIRS375_Latest.png,2026-02-14 10:30:40,2026-02-14 19:00:40,NO
1771049161,2026-02-14 06:06:01,2026-02-14 03:06:01,Lascar,VIIRS,2.63,1.68,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-14/06-06-01_Lascar_VIIRS750_Latest.png,2026-02-14 07:05:38,2026-02-14 18:15:37,NO
1771033200,2026-02-14 01:40:00,2026-02-13 22:40:00,Lascar,MODIS,3.43,1.41,ALERTA_TERMICA,Bajo,imagenes_satelitales/Lascar/2026-02-14/01-40-00_Lascar_MODIS_Latest.png,2026-02-14 00:35:38,2026-02-14 07:00:40,NO
